Group,Experiment,Problem Space,Samples,Iterations,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
UnorderedMapSingleThread,CreateAndInsert,1,10,10,1,0.4,2.5e+06,4,6.5,16,22.7222,4.76678,1.48251,0.254315,0.524463
UnorderedMapSingleThread,CreateAndInsert,10,10,10,1,3.2,312500,32,35.6,45,12.4889,3.53396,2.05268,3.33182,1.01869
UnorderedMapSingleThread,CreateAndInsert,100,10,10,1,38.8,25773.2,388,412.9,456,444.1,21.0737,0.663747,-0.133446,1.18157
UnorderedMapSingleThread,CreateAndInsert,1000,10,10,1,342.8,2917.15,3428,3559.4,3797,10347.2,101.721,1.16752,1.11365,1.29177
UnorderedMapSingleThread,CreateAndInsert,10000,10,10,1,3410.9,293.178,34109,34802,35239,89659.8,299.432,-0.970411,1.22295,2.31438
UnorderedMapSingleThread,CreateAndInsert,100000,10,10,1,35726.6,27.9903,357266,358339,359230,285509,534.33,-0.548771,0.20189,2.0085
UnorderedMapSingleThread,CreateAndInsert,1000000,10,10,1,385933,2.59113,3859327,3.88106e+06,4005944,1.94535e+09,44106.1,2.61551,4.95142,0.492857
UnorderedMapMultiThread,CreateAndInsert,1,10,10,1,0.4,2.5e+06,4,5,9,3.11111,1.76383,1.40866,0.571429,0.566947
UnorderedMapMultiThread,CreateAndInsert,10,10,10,1,2.9,344828,29,30,32,0.666667,0.816497,1.29099,2,1.22474
UnorderedMapMultiThread,CreateAndInsert,100,10,10,1,35.6,28089.9,356,358.9,365,10.3222,3.21282,0.900144,-0.750539,0.902633
UnorderedMapMultiThread,CreateAndInsert,1000,10,10,1,329.3,3036.74,3293,3312.9,3379,666.322,25.8132,1.84098,2.4395,0.770923
UnorderedMapMultiThread,CreateAndInsert,10000,10,10,1,3404.5,293.729,34045,34108.3,34332,9706.68,98.5225,1.59199,0.845441,0.642493
UnorderedMapMultiThread,CreateAndInsert,100000,10,10,1,35795.7,27.9363,357957,358751,359749,296575,544.587,0.301477,-0.61212,1.45872
UnorderedMapMultiThread,CreateAndInsert,1000000,10,10,1,386212,2.58925,3862116,3.88351e+06,3955444,1.33778e+09,36575.6,1.49289,0.25575,0.584821
UnorderedMapSingleThread,Create,1,10,100,0.275,0.11,9.09091e+06,11,11.1,12,0.1,0.316228,2.66667,5.11111,0.316228
UnorderedMapSingleThread,Create,10,10,100,0.034375,0.11,9.09091e+06,11,12.2,19,7.28889,2.69979,1.91979,2.14991,0.444478
UnorderedMapSingleThread,Create,100,10,100,0.00283505,0.11,9.09091e+06,11,11.3,12,0.233333,0.483046,0.872872,-1.2381,0.621059
UnorderedMapSingleThread,Create,1000,10,100,0.000320887,0.11,9.09091e+06,11,11.3,12,0.233333,0.483046,0.872872,-1.2381,0.621059
UnorderedMapSingleThread,Create,10000,10,100,3.22496e-05,0.11,9.09091e+06,11,11.2,12,0.177778,0.421637,1.5,0.25,0.474342
UnorderedMapSingleThread,Create,100000,10,100,3.07894e-06,0.11,9.09091e+06,11,11.8,12,0.177778,0.421637,-1.5,0.25,1.89737
UnorderedMapSingleThread,Create,1000000,10,100,3.10935e-07,0.12,8.33333e+06,12,15.8,21,16.8444,4.1042,0.364309,-1.7627,0.925881
UnorderedMapSingleThread,Insert,1,10,100,0.35,0.14,7.14286e+06,14,14.4,18,1.6,1.26491,2.66667,5.11111,0.316228
UnorderedMapSingleThread,Insert,10,10,100,0.39375,1.26,793651,126,127,129,0.666667,0.816497,1.29099,2,1.22474
UnorderedMapSingleThread,Insert,100,10,100,0.28067,10.89,91827.4,1089,1107.4,1136,353.378,18.7983,0.316774,-1.5232,0.97881
UnorderedMapSingleThread,Insert,1000,10,100,0.329988,113.12,8840.17,11312,11330.2,11403,696.844,26.3978,2.36416,4.20054,0.689451
UnorderedMapSingleThread,Insert,10000,10,100,0.364898,1244.63,803.452,124463,126554,127115,640352,800.22,-2.01937,2.85115,2.61253
UnorderedMapSingleThread,Insert,100000,10,100,0.385123,13759.1,72.679,1375913,1.38855e+06,1417187,1.97891e+08,14067.4,1.09952,-0.204367,0.89866
UnorderedMapSingleThread,Insert,1000000,10,100,0.558512,215548,4.63934,21554789,2.15983e+07,21717520,2.6128e+09,51115.5,1.41185,0.891643,0.850851
UnorderedMapMultiThread,Insert,1,10,100,0.325,0.13,7.69231e+06,13,14.4,18,1.82222,1.3499,2.07978,3.39917,1.03712
UnorderedMapMultiThread,Insert,10,10,100,0.434483,1.26,793651,126,127.2,132,3.73333,1.93218,1.74964,1.8869,0.621059
UnorderedMapMultiThread,Insert,100,10,100,0.30618,10.9,91743.1,1090,1102.5,1134,285.389,16.8935,0.946624,-0.860242,0.739931
UnorderedMapMultiThread,Insert,1000,10,100,0.34382,113.22,8832.36,11322,11344.7,11420,1233.79,35.1253,1.45471,0.391827,0.646257
UnorderedMapMultiThread,Insert,10000,10,100,0.365425,1244.09,803.8,124409,126528,127035,674388,821.211,-1.98662,2.58795,2.57985
UnorderedMapMultiThread,Insert,100000,10,100,0.380536,13621.6,73.413,1362156,1.37722e+06,1381037,3.08463e+07,5553.95,-2.26505,3.73469,2.7122
UnorderedMapMultiThread,Insert,1000000,10,100,0.558417,215667,4.63677,21566718,2.16709e+07,21850655,1.0098e+10,100489,0.485045,-1.17037,1.03712
